Année,Taux d'inflation
1991,1111.0
1992,0.0
1993,0.0
1994,1.600000023841858
1995,1.7999999523162842
1996,2.0
1997,1.2000000476837158
1998,0.6000000238418579
1999,0.5
2000,1.7000000476837158
2001,1.600000023841858
2002,1.899999976158142
2003,2.0999999046325684
2004,2.0999999046325684
2005,1.7000000476837158
2006,1.7000000476837158
2007,1.5
2008,2.799999952316284
2009,0.10000000149011612
2010,1.5
2011,2.0999999046325684
2012,2.0
2013,0.8999999761581421
2014,0.5
2015,0.0
2016,0.20000000298023224
2017,1.0
2018,1.7999999523162842
2019,1.100000023841858
2020,0.5
2021,1.600000023841858
2022,5.199999809265137
2023,4.900000095367432
